"","elgcoal","elgngas","elghydr","elgnuc","elgsun","elgwind","elgbio","inctxff","sbsrnen","banhhap","clmchng","wrclmch","ccnthum","gvsrdcc","lkredcc","lklmten","ownrdcc","psppipla","stfdem","trstplt","trstep","prtvtbit","lrscale","gndr","yrbrn","region","edlvdit","hinctnta"
"1",4,1,1,5,1,1,1,4,2,3,"Changing","Worried","Equally","Very unlikely","Likely","Not at all","Unlikely","A lot","Not at all","Not at all","Little","m5s","Center",1,"30-18","South/Isles","Superior","High"
"2",4,3,2,5,2,2,55,3,2,2,"Changing","Moderately worried","Anthropic","Likely","Unlikely","Possible","Possible","A lot","Neutral","A bit","Very","csx","Center-left",1,"30-18","Center","Superior","Low"
"3",5,5,2,5,2,4,1,1,3,2,"Changing","Moderately worried","Anthropic","Very likely","Likely","Likely","Unlikely","A great deal","Little","Little","Very little","csx","Far left",1,"63-31","South/Isles","Elementary","High"
"4",3,3,1,5,1,1,2,4,3,4,"Changing","Not worried","Equally","Possible","Likely","Possible","Likely","A great deal","Neutral","Little","A bit","csx","Right",2,"63>","South/Isles","Elementary","Low"
"5",5,3,1,5,1,1,3,3,2,2,"Changing","Worried","Anthropic","Very unlikely","Very likely","Very likely","Possible","A lot","Neutral","Very little","A bit","m5s","Far left",1,"63-31","South/Isles","High school","Medium"
"6",1,3,2,2,2,2,3,3,4,3,"Changing","Moderately worried","Equally","Likely","Likely","Likely","Likely","Some","Not at all","Not at all","Not at all","csx","Left",1,"30-18","Center","Elementary","Low"
"7",5,3,3,5,1,2,3,1,1,1,"Changing","Worried","Anthropic","Likely","Likely","Likely","Likely","A lot","A bit","Neutral","Neutral","csx","Center-left",2,"63-31","South/Isles","University","Medium"
"8",5,1,1,5,1,1,1,4,4,2,"Changing","Moderately worried","Anthropic","Unlikely","Very likely","Possible","Possible","A great deal","Very little","Not at all","Neutral","dx","Center-right",2,"63-31","North","University","High"
"9",4,2,1,5,1,2,2,4,2,2,"Changing","Moderately worried","Anthropic","Possible","Likely","Likely","Very likely","A lot","A bit","Neutral","A bit","csx","Center-left",2,"63-31","North","High school","High"
"10",5,3,3,5,1,3,2,1,1,1,"Changing","Moderately worried","Anthropic","Very likely","Likely","Likely","Likely","A great deal","A bit","Very little","Not at all","csx","Left",1,"63-31","Center","University","Very high"
"11",5,4,4,5,1,1,1,2,1,2,"Changing","Worried","Anthropic","Possible","Very likely","Very likely","Very likely","A lot","Very little","Little","A bit","csx","Far left",1,"63-31","North","Superior","High"
